"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uzmanību</strong>: Lauks atšķir lielos un mazos burtus."
"After number of attempts to login","After number of attempts to login"
"Always","Vienmēr"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","CAPTCHA Timeout (minutes)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen"
"Case Sensitive","Atšķir lielos un mazos burtus"
"Displaying Mode","Displaying Mode"
"Enable CAPTCHA in Admin","Enable CAPTCHA in Admin"
"Enable CAPTCHA on Frontend","Enable CAPTCHA on Frontend"
"Font","Font"
"Forms","Forms"
"If 0 is specified, CAPTCHA on the Login form will be always available.","If 0 is specified, CAPTCHA on the Login form will be always available."
"Incorrect CAPTCHA.","Nepareizi ievadīts CAPTCHA."
"Number of Symbols","Simbolu skaits"
"Number of Unsuccessful Attempts to Login","Number of Unsuccessful Attempts to Login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Please type the letters below","Lūdzu, ierakstiet zemāk redzamos simbolus"
"Please type the letters from the image:","Lūdzu, ierakstiet attēlā redzamos simbolus:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer."
"Reload captcha","Pārlādēt CAPTCHA"
"Symbols Used in CAPTCHA","CAPTCHA izmantotie simboli"
