"""Remember Me"" Default Value","""Atcerēties mani"" Default Value"
"(Not %s?)","(Neesat %s?)"
"* Required Fields","* Obligāti aizpildāmie lauki"
"Address","Adrese"
"Address Information","Address Information"
"Already registered?","Esat reģistrējies?"
"Back","Atpakaļ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Reģistrējoties mūsu lapā, jums būs iespēja ātrāk noformēt pirkumu, saglabāt vairākas piegādes adreses, izsekot saviem pasūtījumiem u.c."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Norēķināties nereģistrējoties"
"Checkout as a Guest or Register","Norēķināties nereģistrējoties vai reģistrēties"
"City","Pilsēta"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Aizvērt"
"Company","Uzņēmums"
"Confirm Password","Apstiprināt paroli"
"Continue","Turpināt"
"Country","Valsts"
"Create an Account","Reģistrēties"
"Easy access to your order history and status","Ērti pārskatāma pasūtījumu vēsture un statusi"
"Email Address","Epasta adrese"
"Enable ""Remember Me""","Atļaut ""Atcerēties mani"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Ātra un ērta norēķināšanās"
"Fax","Fakss"
"Forgot Your Password?","Aizmirsāt paroli?"
"Forgot your password?","Aizmirsāt paroli?"
"General Options","General Options"
"If you have an account with us, please log in.","Ja esat reģistrējies, lūdzu, autorizējieties."
"Loading next step...","Lūdzu, uzgaidiet..."
"Login","Ienākt"
"Login Information","Login Information"
"Login or Create an Account","Autorizēties vai reģistrēties"
"New Customers","Jauniem klientiem"
"Password","Parole"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Klienta informācija"
"Please log in below:","Lūdz, autorizējieties:"
"Please select region, state or province","Lūdzu, izvēltieties reģionu"
"Register","Reģistrēties"
"Register and save time!","Reģistrējieties un ietaupiet laiku"
"Register to Create an Account","Lai izveidotu profilu, lūdzu, reģistrējieties"
"Register with us for future convenience:","Reģistrējieties mūsu lapā savai ērtībai:"
"Registered Customers","Reģistrētiem klientiem"
"Remember Me","Atcerēties mani"
"Save in address book","Saglabāt adrešu sarakstā"
"Select State/Province...","Izvēlieties reģionu..."
"Select a billing address from your address book or enter a new address.","Izvēlieties norēķina adresi no sava adrešu saraksta vai pievienojiet jaunu adresi."
"Ship to different address","Piegādāt uz citu adresi"
"Ship to this address","Piegādāt uz šo adresi"
"Shopping cart has been updated with appropriate prices","Shopping cart has been updated with appropriate prices"
"Sign Up for Newsletter","Piesakieties jaunumiem"
"State/Province","Reģions"
"Street Address","Adrese"
"Street Address %s","Adrese %s"
"Submit","Nosūtīt"
"Telephone","Tālrunis"
"To proceed to Checkout, please log in using your email address.","Lai veiktu pasūtījumu, lūdzu, autorizējieties, izmantojot savu epasta adresi."
"VAT Number","PVN maksātāja numurs"
"Welcome, %s!","Laipni lūdzam, %s!"
"What\'s this?","Kas tas ir?"
"Zip/Postal Code","Pasta indekss"
